service_id,date,exception_type
48605,20250301,1
48605,20250302,1
48605,20250308,1
48605,20250309,1
48605,20250315,1
48605,20250316,1
48605,20250322,1
48605,20250323,1
48606,20250301,1
48606,20250308,1
48606,20250322,1
48607,20250302,1
48607,20250309,1
48607,20250315,1
48607,20250316,1
48607,20250323,1
48608,20250303,1
48608,20250304,1
48608,20250305,1
48608,20250306,1
48608,20250307,1
48608,20250310,1
48608,20250311,1
48608,20250312,1
48608,20250313,1
48608,20250314,1
48608,20250317,1
48608,20250318,1
48608,20250319,1
48608,20250320,1
48608,20250321,1
48608,20250324,1
48608,20250325,1
48608,20250326,1
48608,20250327,1
48608,20250328,1
C04183AHPMAA-011,20250224,1
C04183AHPMAA-011,20250225,1
C04183AHPMAA-011,20250226,1
C04183AHPMAA-011,20250227,1
C04183AHPMAA-011,20250228,1
C04183AHPMAA-011,20250303,1
C04183AHPMAA-011,20250304,1
C04183AHPMAA-011,20250305,1
C04183AHPMAA-011,20250306,1
C04183AHPMAA-011,20250307,1
C04183AHPMAA-011,20250310,1
C04183AHPMAA-011,20250311,1
C04183AHPMAA-011,20250312,1
C04183AHPMAA-011,20250313,1
C04183AHPMAA-011,20250314,1
C04183AHPMAA-011,20250317,1
C04183AHPMAA-011,20250318,1
C04183AHPMAA-011,20250319,1
C04183AHPMAA-011,20250320,1
C04183AHPMAA-011,20250321,1
C04183AHPMAA-011,20250324,1
C04183AHPMAA-011,20250325,1
C04183AHPMAA-011,20250326,1
C04183AHPMAA-011,20250327,1
C04183AHPMAA-011,20250328,1
C04183AHPMAA-011,20250331,1
C04183AHPMAA-011,20250401,1
C04184ASVMAA-011,20250223,1
C04184ASVMAA-011,20250301,1
C04184ASVMAA-011,20250302,1
C04184ASVMAA-011,20250308,1
C04184ASVMAA-011,20250309,1
C04184ASVMAA-011,20250315,1
C04184ASVMAA-011,20250316,1
C04184ASVMAA-011,20250322,1
C04184ASVMAA-011,20250323,1
C04184ASVMAA-011,20250329,1
C04184ASVMAA-011,20250330,1
C11388ASZHK-0011,20250301,1
C11388ASZHK-0011,20250308,1
C11388ASZHK-0011,20250322,1
C11388ASZHK-0011,20250329,1
C23867AHCKMK-011,20250224,1
C23867AHCKMK-011,20250225,1
C23867AHCKMK-011,20250226,1
C23867AHCKMK-011,20250227,1
C23867AHCKMK-011,20250303,1
C23867AHCKMK-011,20250304,1
C23867AHCKMK-011,20250305,1
C23867AHCKMK-011,20250306,1
C23867AHCKMK-011,20250310,1
C23867AHCKMK-011,20250311,1
C23867AHCKMK-011,20250312,1
C23867AHCKMK-011,20250313,1
C23867AHCKMK-011,20250317,1
C23867AHCKMK-011,20250318,1
C23867AHCKMK-011,20250319,1
C23867AHCKMK-011,20250320,1
C23867AHCKMK-011,20250324,1
C23867AHCKMK-011,20250325,1
C23867AHCKMK-011,20250326,1
C23867AHCKMK-011,20250327,1
C23867AHCKMK-011,20250331,1
C23867AHCKMK-011,20250401,1
C23868APPKMK-011,20250228,1
C23868APPKMK-011,20250307,1
C23868APPKMK-011,20250314,1
C23868APPKMK-011,20250321,1
C23868APPKMK-011,20250328,1
C23869ASZKMK-011,20250301,1
C23869ASZKMK-011,20250308,1
C23869ASZKMK-011,20250315,1
C23869ASZKMK-011,20250322,1
C23869ASZKMK-011,20250329,1
C23870AVVKMK-011,20250223,1
C23870AVVKMK-011,20250302,1
C23870AVVKMK-011,20250309,1
C23870AVVKMK-011,20250316,1
C23870AVVKMK-011,20250330,1
C27965ASZKMK-011,20250301,1
C27965ASZKMK-011,20250308,1
