pathway_id,pathway_mode,is_bidirectional,from_stop_id,to_stop_id,traversal_time
LMXDF1-F00954,5,1,LMXDF1,F00954,90
LM2PU1-F01742,2,1,LM2PU1,F01742,30
LM2KP1-LMXKPF-WC,5,1,LM2KP1,LMXKPF,60
LM3NYH-LM3NY2,2,1,LM3NYH,LM3NY2,120
LM3NYH-LM3NY1,2,1,LM3NYH,LM3NY1,30
LM3NYG-LM3NY2,2,1,LM3NYG,LM3NY2,120
LM4SG1-056224,2,1,LM4SG1,056224,60
LM3NYG-LM3NY1,2,1,LM3NYG,LM3NY1,30
LM4SG1-056223,2,1,LM4SG1,056223,60
LM4SG2-056223,1,1,LM4SG2,056223,90
LM3NYM-LM3NY2,2,1,LM3NYM,LM3NY2,150
LM3HU2-F01542-WC,5,1,LM3HU2,F01542,30
LM3NYM-LM3NY1,2,1,LM3NYM,LM3NY1,60
LM3NT3-LM3NT1,5,1,LM3NT3,LM3NT1,90
LM3NYB-LM3NY2,2,1,LM3NYB,LM3NY2,30
LM4MK1-056221,2,1,LM4MK1,056221,30
LM4MK1-056222,2,1,LM4MK1,056222,30
LM3NYB-LM3NY1,2,1,LM3NYB,LM3NY1,120
LM3AHC-LM3AH1,2,1,LM3AHC,LM3AH1,30
LM3AHC-LM3AH2,2,1,LM3AHC,LM3AH2,180
LM3EUD-F01494,2,1,LM3EUD,F01494,45
LM3PU1-F01879,5,1,LM3PU1,F01879,90
LM4UK1-056220-WC,5,1,LM4UK1,056220,90
056227-F01290-WC,5,1,056227,F01290,270
LM3CNJ-LM3CN1,2,1,LM3CNJ,LM3CN1,60
056227-F01289-WC,5,1,056227,F01289,270
LM2BT1-LM2BTD,2,1,LM2BT1,LM2BTD,30
056228-F01290-WC,5,1,056228,F01290,270
LM2BT1-LM2BTC,2,1,LM2BT1,LM2BTC,60
LM2BT1-LM2BTB,2,1,LM2BT1,LM2BTB,60
LM2BT1-LM2BTA,2,1,LM2BT1,LM2BTA,30
LM3LEE-LM3LE1,1,1,LM3LEE,LM3LE1,30
LM3KKF-LM3KK1,2,1,LM3KKF,LM3KK1,180
LM3FU2-F02683,5,1,LM3FU2,F02683,60
LM4FT1-056225,2,1,LM4FT1,056225,60
LM4FT1-056226,2,1,LM4FT1,056226,60
LM3DGC-LM3DG1,2,1,LM3DGC,LM3DG1,30
LM4MK3-056222-WC,1,1,LM4MK3,056222,60
LM2PF1-F01324,2,1,LM2PF1,F01324,30
LM2PF1-F01325,2,1,LM2PF1,F01325,30
LM3KKD2-LM3KK1,2,1,LM3KKD2,LM3KK1,60
LM3KKA-LM3KK1,2,1,LM3KKA,LM3KK1,180
LM3NLH-L008082,2,1,LM3NLH,L008082,75
LM4KP3-LMXKPF,2,1,LM4KP3,LMXKPF,150
LM4KP3-LMXKPE,2,1,LM4KP3,LMXKPE,90
LM4KP3-LMXKPD,2,1,LM4KP3,LMXKPD,90
LM4KP3-LMXKPC,2,1,LM4KP3,LMXKPC,90
LM4KP3-LMXKPJ,2,1,LM4KP3,LMXKPJ,30
LM4KP3-LMXKPI,2,1,LM4KP3,LMXKPI,60
LM4KP3-LMXKPH,2,1,LM4KP3,LMXKPH,210
LM4KP3-LMXKPG,2,1,LM4KP3,LMXKPG,210
LM3LE5-LM3LE1,5,1,LM3LE5,LM3LE1,90
LM4KP3-LMXKPB,2,1,LM4KP3,LMXKPB,90
LM4KP3-LMXKPA,2,1,LM4KP3,LMXKPA,60
L008186-F00913,2,0,L008186,F00913,30
LM4UK1-056219-WC,5,1,LM4UK1,056219,90
LM3HU3-LM3HU1,5,1,LM3HU3,LM3HU1,10
LM3CNE-LM3CN1,2,1,LM3CNE,LM3CN1,60
LM4KF3-LM4KFC,2,1,LM4KF3,LM4KFC,90
LM4KF3-LM4KFD,2,1,LM4KF3,LM4KFD,120
LM4KF3-LM4KFA,2,1,LM4KF3,LM4KFA,90
LM4KF3-LM4KFB,2,1,LM4KF3,LM4KFB,90
LM3NL2-L008082,5,1,LM3NL2,L008082,90
LM3NY1-F00937-WC,5,1,LM3NY1,F00937,60
LM1DF3-F00962,2,1,LM1DF3,F00962,120
LM3NLE-L008082,2,1,LM3NLE,L008082,45
LM1DF3-F00963,2,1,LM1DF3,F00963,120
LM2OV1-F01749-WC,1,1,LM2OV1,F01749,30
LM4UK1-056219,2,1,LM4UK1,056219,60
LM1VTV-F00964,2,1,LM1VTV,F00964,15
LMXKVG-LM3KV1,2,1,LMXKVG,LM3KV1,60
LMXKVC-LM3KV1,2,1,LMXKVC,LM3KV1,30
LM2DF1-F00960,2,1,LM2DF1,F00960,150
LM2DF1-F00961,2,1,LM2DF1,F00961,150
LM1SFM-F02697,2,1,LM1SFM,F02697,30
